,,,,,,,Def,Def,Def,Def,,-additional
Rk,Player,Int,Season▼,Age,G,GS,Int,Yds,IntTD,PD,Pos,-9999
,Deron Cherry,7,1988,29,16,16,7,51,0,,FS,CherDe00
,Deron Cherry,7,1985,26,16,16,7,87,1,,FS,CherDe00
,Deron Cherry,7,1984,25,16,16,7,140,0,,FS,CherDe00
,Deron Cherry,7,1983,24,16,16,7,100,0,,FS,CherDe00
,Hagood Clarke,7,1965,23,14,12,7,60,0,,SS,ClarHa00
,Mario Clark,7,1977,23,14,13,7,151,0,,LCB,ClarMa20
,Kurt Coleman,7,2015,27,15,15,7,89,1,9,FS,ColeKu99
,Marcus Coleman,7,2003,29,15,15,7,95,0,22,RCB,ColeMa20
,Nick Collins,7,2008,25,16,16,7,295,3,15,FS,CollNi20
,Vince Costello,7,1963,31,14,14,7,118,0,,MLB,CostVi20
,Thom Darden,7,1976,26,14,14,7,73,0,,FS,DardTh00
,Vernon Dean,7,1984,25,16,14,7,114,2,,RCB,DeanVe20
,Michael Downs,7,1981,22,15,15,7,81,0,,FS,DownMi20
,Michael Downs,7,1984,25,16,16,7,126,1,,FS,DownMi20
,Speedy Duncan,7,1966,24,14,13,7,67,0,,RCB,DuncSp00
,Kenny Easley,7,1983,24,16,15,7,106,0,,SS,EaslKe00
,Herm Edwards,7,1978,24,16,16,7,59,0,,RCB,EdwaHe20
,Ray Ellis,7,1984,25,16,16,7,119,0,,SS,ElliRa20
,Dave Elmendorf,7,1974,25,14,14,7,186,2,,SS,ElmeDa20
,Ross Fichtner,7,1962,24,14,10,7,76,0,,SS,FichRo20
,Charlie Ford,7,1972,24,14,14,7,104,0,,LCB,FordCh20
,Leslie Frazier,7,1983,24,16,16,7,135,1,,RCB,FrazLe20
,Steve Freeman,7,1980,27,16,16,7,107,1,,SS,FreeSt20
,Kyle Fuller,7,2018,26,16,16,7,52,0,21,LCB,FullKy00
,Chris Gamble,7,2005,22,15,15,7,157,1,12,RCB,GambCh20
,Goose Gonsoulin,7,1964,26,14,11,7,125,0,,FS,GonsAu00
,Goose Gonsoulin,7,1962,24,14,13,7,88,1,,FS,GonsAu00
,Dave Grayson,7,1964,25,14,14,7,187,0,,RCB,GrayDa00
,Cornell Green,7,1963,23,14,14,7,211,0,,LCB,GreeCo00
,Cornell Green,7,1967,27,14,14,7,52,0,,LCB,GreeCo00
,Ken Greene,7,1981,25,15,15,7,111,0,,FS,GreeKe20
,James Griffin,7,1985,24,16,11,7,116,1,,FS,GrifJa20
,Michael Griffin,7,2008,23,16,16,7,172,1,11,FS,GrifMi99
,Wayne Haddix,7,1990,25,16,16,7,231,3,,RCB,HaddWa00
,Jack Ham,7,1972,24,14,14,7,83,1,,LLB,HamxJa00
,Merton Hanks,7,1994,26,16,16,7,93,0,,FS,HankMe00
,Dick Harris,7,1961,24,14,14,7,140,3,,RCB,HarrDi20
,Eric Harris,7,1980,25,15,13,7,54,0,,RCB,HarrEr20
,Eric Harris,7,1981,26,16,16,7,109,0,,RCB,HarrEr20
,John Harris,7,1985,29,16,16,7,20,0,,FS,HarrJo24
,James Hasty,7,1999,34,15,15,7,98,2,15,RCB,HastJa00
,Lester Hayes,7,1979,24,16,16,7,100,2,,LCB,HayeLe00
,Mark Haynes,7,1984,26,15,15,7,90,0,,LCB,HaynMa00
,Casey Hayward,7,2016,27,16,14,7,102,1,20,RCB,HaywCa00
,Jim Hill,7,1969,23,14,14,7,92,0,,FS,HillJi21
,Jimmy Hitchcock,7,1998,28,16,16,7,242,3,,RCB,HitcJi20
,Xavien Howard,7,2018,25,12,12,7,52,0,12,LCB,HowaXa00
,Bobby Hunt,7,1964,24,14,14,7,133,1,,SS,HuntBo00
,James Hunter,7,1976,22,13,8,7,120,1,,FS,HuntJa22
,Maurice Hurst,7,1994,27,16,16,7,68,0,,RCB,HursMa20
,Terry Jackson,7,1978,23,15,14,7,115,1,,LCB,JackTe20
,Tom Jackson,7,1976,25,14,14,7,136,1,,ROLB/RLB,JackTo01
,Trumaine Johnson,7,2015,25,14,13,7,136,1,17,LCB,JohnTr05
,Damontae Kazee,7,2018,25,16,15,7,54,0,10,SS,KazeDa00
,Mark Kelso,7,1992,29,16,16,7,21,0,,FS,KelsMa21
,Mark Kelso,7,1988,25,16,16,7,180,1,,FS,KelsMa21
,Jim Kerr,7,1961,22,13,12,7,93,0,,FS,KerrJi20
,Paul Krause,7,1968,26,14,14,7,82,0,,FS,KrauPa00
,Rolland Lawrence,7,1977,26,14,14,7,138,0,,LCB,LawrRo00
,Dick LeBeau,7,1965,28,14,12,7,84,1,,LCB,LeBeDi00
,Tim Lewis,7,1984,23,16,16,7,151,1,,RCB,LewiTi20
,Ronnie Lott,7,1981,22,16,16,7,117,3,,LCB,LottRo00
